"subject","Acc_avg","RT_avg","cong_Acc_avg","incong_Acc_avg","corr_cong_RT_avg","corr_incong_RT_avg","err_cong_RT_avg","err_incong_RT_avg","num_corr_cong_trials","num_corr_incong_trials","num_err_cong_trials","num_err_incong_trials","PE_Acc_avg","PC_Acc_avg","PE_RT_avg","PC_RT_avg","PE_corr_RT_avg","PC_corr_RT_avg","num_PE_trials","num_PC_trials"
5241,0.744186046511628,575.976744186047,0.964705882352941,0.528735632183908,543.853658536585,669.445652173913,471.666666666667,542.987804878049,164,92,6,82,0.602564102564103,0.880952380952381,523.602564102564,572.190476190476,549.021276595745,581.324324324324,78,84
5243,0.770491803278688,853.777049180328,0.902597402597403,0.635761589403974,833.892086330935,884.270833333333,727.266666666667,885.309090909091,139,96,15,55,0.673469387755102,0.8125,928.367346938776,868.55,930.606060606061,894.415384615385,49,80
5245,0.894285714285714,532.325714285714,0.903409090909091,0.885057471264368,541.566037735849,569.012987012987,341.117647058824,338.9,159,154,17,20,NA,0.886666666666667,NA,530.166666666667,NA,555.902255639098,19,150
5248,0.801775147928994,417.792899408284,0.851190476190476,0.752941176470588,418.265734265734,462.2109375,335,330.095238095238,143,128,25,42,0.828571428571429,0.830645161290323,474.628571428571,405.475806451613,503.655172413793,421.067961165049,35,124
5249,0.826979472140763,681.803519061584,0.888235294117647,0.766081871345029,695.748344370861,731.931297709924,495.684210526316,553.4,151,131,19,40,0.692307692307692,0.872,589.923076923077,667.792,692.074074074074,689.082568807339,39,125
5251,0.72289156626506,640.246987951807,0.736526946107784,0.709090909090909,667.983739837398,671.598290598291,590.113636363636,538.708333333333,123,117,44,48,0.727272727272727,0.697247706422018,776.545454545455,578.05504587156,791.78125,603.381578947368,44,109
5252,0.834319526627219,494.807692307692,0.901162790697674,0.765060240963855,494.522580645161,539.047244094488,346.411764705882,416.564102564103,155,127,17,39,0.818181818181818,0.801652892561983,579.121212121212,474.090909090909,562.592592592593,506.618556701031,33,121
5253,0.659375,456.425,0.805031446540881,0.515527950310559,464.6015625,517.867469879518,368.322580645161,412.641025641026,128,83,31,78,0.6,0.71830985915493,479.615384615385,430.985915492958,525.717948717949,454.294117647059,65,71
5255,0.703583061889251,712.618892508143,0.835443037974684,0.563758389261745,694.022727272727,861.928571428571,554.384615384615,620.723076923077,132,84,26,65,0.5,0.757142857142857,613.82,700.557142857143,662.12,765.754716981132,50,70
5258,0.829971181556196,585.380403458213,0.931818181818182,0.725146198830409,555.182926829268,666.66935483871,579.916666666667,477.68085106383,164,124,12,47,0.863636363636364,0.879310344827586,742.772727272727,572.637931034483,729.552631578947,582.794117647059,44,116
5260,0.902857142857143,535.831428571429,0.920454545454545,0.885057471264368,512.913580246914,584.993506493507,522.357142857143,352.35,162,154,14,20,NA,0.899328859060403,NA,521.979865771812,NA,529.141791044776,17,149
5263,0.908831908831909,484.435897435897,0.982954545454545,0.834285714285714,461.456647398844,525.143835616438,437.333333333333,421.448275862069,173,146,3,29,0.793103448275862,0.934782608695652,665.655172413793,466.239130434783,693.869565217391,469.813953488372,29,138
5264,0.966565349544073,763.419452887538,0.975903614457831,0.957055214723926,699.333333333333,830.884615384615,675.25,793.428571428571,162,156,4,7,NA,1,NA,736.730496453901,NA,736.730496453901,5,141
5267,0.861271676300578,434.979768786127,0.871345029239766,0.851428571428571,435.348993288591,452.664429530201,374.454545454545,382.730769230769,149,149,22,26,0.863636363636364,0.86986301369863,523.636363636364,410.650684931507,545.315789473684,419.204724409449,22,146
5268,0.866261398176292,736.279635258359,0.869822485207101,0.8625,705.115646258503,762.891304347826,637.090909090909,876.772727272727,147,138,22,22,NA,0.880597014925373,NA,728.985074626866,NA,728.21186440678,18,134
5269,0.851744186046512,549.546511627907,0.918604651162791,0.784883720930233,545.981012658228,605.851851851852,326.285714285714,443.810810810811,158,135,14,37,0.787878787878788,0.90625,704,562.6015625,747.961538461538,581.258620689655,33,128
5270,0.660550458715596,398.963302752294,0.810126582278481,0.520710059171598,434.75,432.920454545455,302.033333333333,341.41975308642,128,88,30,81,0.657142857142857,0.675,447.142857142857,376.8,503.086956521739,395.851851851852,70,80
5271,0.760932944606414,484.183673469388,0.848837209302326,0.672514619883041,486.931506849315,554.052173913043,365.576923076923,388.607142857143,146,115,26,56,0.846153846153846,0.8,512.365384615385,504.027272727273,542.545454545455,529.420454545455,52,110
5272,0.85207100591716,549.656804733728,0.822485207100592,0.881656804733728,559.568345323741,571.342281879195,425.033333333333,506.15,139,149,30,20,NA,0.862068965517241,NA,537.31724137931,NA,553.944,18,145
5273,0.85014409221902,441.838616714697,0.895953757225434,0.804597701149425,426.864516129032,501.557142857143,330.944444444444,322.911764705882,155,140,18,34,0.793103448275862,0.854014598540146,498.310344827586,433.598540145985,535.347826086957,453.863247863248,29,137
