"subject","cong_Acc_avg","incong_Acc_avg","corr_cong_RT_avg","corr_incong_RT_avg","err_cong_RT_avg","err_incong_RT_avg","num_corr_cong_trials","num_corr_incong_trials","num_err_cong_trials","num_err_incong_trials"
5263,0.982954545454545,0.834285714285714,461.456647398844,525.143835616438,437.333333333333,421.448275862069,94,58,1,14
5264,0.975903614457831,0.957055214723926,699.333333333333,830.884615384615,675.25,793.428571428571,73,70,1,2
5267,0.871345029239766,0.851428571428571,435.348993288591,452.664429530201,374.454545454545,382.730769230769,81,65,9,13
5268,0.869822485207101,0.8625,705.115646258503,762.891304347826,637.090909090909,876.772727272727,66,67,10,9
5269,0.918604651162791,0.784883720930233,545.981012658228,605.851851851852,326.285714285714,443.810810810811,77,65,4,15
5270,0.810126582278481,0.520710059171598,434.75,432.920454545455,302.033333333333,341.41975308642,57,43,17,33
5271,0.848837209302326,0.672514619883041,486.931506849315,554.052173913043,365.576923076923,388.607142857143,76,56,14,16
5272,0.822485207100592,0.881656804733728,559.568345323741,571.342281879195,425.033333333333,506.15,72,65,19,7
5273,0.895953757225434,0.804597701149425,426.864516129032,501.557142857143,330.944444444444,322.911764705882,75,65,11,15
5277,0.70414201183432,0.61046511627907,415.151260504202,445.87619047619,367.58,419,65,38,25,38
5278,0.916167664670659,0.875,800.196078431373,880.007518796992,713.928571428571,670.315789473684,67,57,6,8
5282,0.965317919075145,0.650887573964497,454.664670658683,548.336363636364,434,375.983050847458,87,51,0,22
5283,0.94375,0.899328859060403,699.456953642384,798.761194029851,590.333333333333,537,61,54,4,5
5287,0.994082840236686,0.934131736526946,582.315476190476,689.301282051282,745,469.909090909091,81,72,1,1
5291,0.919075144508671,0.825581395348837,495.358490566038,567.87323943662,318.214285714286,362.466666666667,73,74,8,12
5292,0.922619047619048,0.823899371069182,600.922580645161,666.099236641221,457.076923076923,702.821428571429,65,59,8,9
5293,0.898809523809524,0.878048780487805,459.53642384106,480.527777777778,387.647058823529,335.6,73,56,9,9
5295,0.965116279069767,0.884393063583815,481.463855421687,534.986928104575,408.5,350.15,82,72,1,8
5300,0.961783439490446,0.936708860759494,907.529801324503,975.013513513514,834.5,997.9,77,52,3,4
5303,0.976744186046512,0.833333333333333,488.410714285714,554.337931034483,375,395.896551724138,92,61,3,8
5306,0.905882352941176,0.852941176470588,500.441558441558,555.255172413793,415.0625,365.36,78,65,7,12
5307,0.937142857142857,0.8,408.664634146341,491.957142857143,326.545454545455,339.085714285714,77,72,5,14
5311,0.895953757225434,0.817142857142857,445.58064516129,485.755244755245,328.5,422.65625,71,74,13,12
5313,0.882352941176471,0.815028901734104,668.473333333333,713.375886524823,653.5,635.46875,75,64,11,13
5326,0.936781609195402,0.822485207100592,547.822085889571,624.467625899281,394.727272727273,395.133333333333,81,61,8,8
5328,0.92814371257485,0.857988165680473,614.664516129032,662.062068965517,507.083333333333,588.166666666667,84,62,5,6
5332,0.941860465116279,0.904191616766467,521.549382716049,578.549668874172,326.6,360,93,57,6,5
5334,0.929411764705882,0.862275449101796,551.639240506329,585.923611111111,436.75,453.130434782609,80,61,7,9
5340,0.965714285714286,0.948571428571429,437.047337278107,531.289156626506,271,388.777777777778,86,75,3,3
5341,0.959302325581395,0.843023255813954,611.09696969697,703.344827586207,639.428571428571,500.518518518519,86,69,4,4
5343,0.938271604938272,0.926174496644295,686.914473684211,707.536231884058,592.7,429.636363636364,66,54,5,4
5344,0.84393063583815,0.826589595375723,471.568493150685,524.776223776224,512.037037037037,580.2,81,55,12,16
5346,0.885714285714286,0.752873563218391,413.677419354839,443.152671755725,329.2,366.395348837209,70,68,12,20
5352,0.913294797687861,0.804597701149425,634.164556962025,658.75,624.866666666667,491.588235294118,76,70,8,15
5353,0.923976608187134,0.823863636363636,448.037974683544,472.696551724138,313.923076923077,333.870967741935,74,71,11,12
5354,0.73972602739726,0.647058823529412,349.574074074074,373.20202020202,307.605263157895,292.722222222222,51,39,21,19
5355,0.943181818181818,0.801136363636364,381.192771084337,433.276595744681,277.2,288.428571428571,85,66,4,14
5357,0.785714285714286,0.692307692307692,371.037878787879,384.111111111111,309.444444444444,311,57,57,19,22
5360,0.85632183908046,0.716867469879518,533.006711409396,598.798319327731,418.36,417.659574468085,74,50,13,19
5362,0.935672514619883,0.892857142857143,621.50625,720.02,560.454545454545,565.388888888889,84,60,6,5
5364,0.702380952380952,0.538922155688623,584.483050847458,547.9,472.52,484.337662337662,54,46,19,34
5366,0.953757225433526,0.868571428571429,489.387878787879,550.875,361.625,386.608695652174,88,74,3,3
5367,0.982558139534884,0.924418604651163,655.763313609467,709.77358490566,582.333333333333,534.230769230769,90,65,2,4
5370,0.951724137931034,0.909677419354839,892.123188405797,906.985815602837,NA,NA,59,63,0,3
5371,0.942857142857143,0.874285714285714,497.915151515152,519.797385620915,395.8,406,79,77,5,8
5373,0.915032679738562,0.952380952380952,801.092857142857,821.65,678.307692307692,783.714285714286,64,49,2,4
5374,0.953488372093023,0.888888888888889,561.634146341463,577.269736842105,642,450.947368421053,86,67,4,6
5375,0.988505747126437,0.918604651162791,588.767441860465,644.601265822785,682,557.214285714286,84,71,2,5
5377,0.882716049382716,0.828947368421053,856.104895104895,911.412698412698,892.578947368421,786.615384615385,64,52,6,11
5379,0.943181818181818,0.804597701149425,454.560240963855,578.5,463.5,490.676470588235,79,60,5,21
5380,0.994152046783626,0.953216374269006,670.164705882353,723.644171779141,473,526.375,91,68,1,1
